,Normalized Working Title,Alias,Start Year,End Year,NLPs,BL Working Titles,Variant Titles
364,West Londoner and Select Advertiser for the Borough of Marylebone,WLSA,1870,1872,['0004132'],['West Londoner'],['West Londoner and Select Advertiser for the Borough of Marylebone :']
365,Western Mail,WMCF,1869,1900,['0000104'],['Western Mail'],['Western Mail']
366,Westminster Journal and Old British Spy,WJBS,1805,1810,['0002269'],['Westminster Journal and Old British Spy'],['Westminster Journal and Old British Spy. (31 Aug./7 Sept.1805 - 22/29 Dec.1810)']
367,Whitehall Evening Post,WHEP,1801,1801,['0002776'],['Whitehall Evening Post'],['Whitehall Evening Post']
368,Widnes Examiner,WDEX,1876,1920,['0002601'],['Widnes Examiner'],['Widnes Examiner.' 'Widnes Examiner']
369,Wooler's British Gazette,WBGZ,1819,1823,['0002762'],"[""Wooler's British Gazette""]","[""Wooler's British Gazette""]"
370,Wrexham Advertiser,WRWA,1854,1900,['0000185' '0000496'],['Wrexham Advertiser'],['Wrexham Weekly Advertiser' 'Wrexham Advertiser']
371,Y Genedl Gymreig,GNDL,1877,1900,['0000059'],['Y Genedl Gymreig'],['Y Genedl Gymreig']
372,Y Goleuad,GLAD,1869,1900,['0000058'],['Y Goleuad'],['Y Goleuad']
373,York House Papers,YOHP,1879,1881,['0004139'],['York House Papers'],"['York House Papers: A weekly journal for the families of the Army, Navy, and auxiliary forces']"
